,Año y Mes,Índice Global,Valor Agregado,"Agricultura, ganadería, caza y silvicultura ",Pesca y acuicultura ,"Extraccion de petróleo, gas, minerales y servicios conexos ",Manufactura ,"Electricidad, gas, suministro de agua, alcantarillado y gestión de desechos y saneamiento ",Construcción ,Comercio y mantenimiento y reparación de vehículos automotores y motocicletas ,Otros Servicios,Derechos de Importación y Otros Impuestos a los productos (*)
26,2014-03,5.342065978340855,5.281143572865204,1.5565541786419743,-1.8844585846663762,1.5692813927317388,7.012544793488786,6.126158419669309,2.733760005499761,5.5585437853288795,6.648501485529408,5.9917855913628415
27,2014-04,2.917267689900598,2.977529733794654,5.721031238969232,57.79748487320907,-4.780605953658437,1.7334700450267064,4.86749236689208,-5.057804096031276,3.5161291839016116,6.04096103177838,2.254336386836073
28,2014-05,2.5821017466621328,2.7094603222714397,0.5640119737785483,-10.204459608980315,-1.9984897860753108,-2.1042908485866576,4.97906132194305,5.628145889892295,4.224671390279823,5.59726685516236,1.2276994149902976
29,2014-06,0.39967700332086054,0.4511679572647438,-3.12297490352087,-30.1132567867503,-6.059507011338312,-9.263754607713622,4.775993668978472,3.7554894908016507,5.519604123872028,5.555450668385447,-0.19528100079512
30,2014-07,1.5377243365805526,1.7824905573394716,1.9581959809605678,6.607284229235404,-2.0141018849035817,-5.259862068837535,4.297971353914477,-2.3837582006808447,4.213692086085501,5.301811876242084,-1.2498084126214906
31,2014-08,1.3709756309735894,1.5825288614258852,4.927864662904668,-26.94626964228391,-3.9834163601304766,-3.2790685333114737,4.218133201155538,-3.393887763523125,3.229158190497401,5.266367058508578,-0.9636365988210684
32,2014-09,2.7129905396589606,2.8684451620882783,1.7817599665397381,-35.07956550648943,-3.0661597255955684,-2.6030052011289797,4.901910650984846,7.845003221053972,4.526953805060941,5.5939087858943,1.019065400518727
33,2014-10,2.2683518381578125,2.550274732406052,-0.5776622755756051,-15.062114704582214,3.729409772743452,-3.637282611013589,4.6984308659718295,-3.5056085806954798,4.150871268592638,5.737676328705163,-0.6151709810495021
34,2014-11,0.13622903992944657,0.13118367621554228,3.537306036971245,-70.8211150550898,0.5051463798713343,-14.01952606668199,4.523501654168285,3.9208451548964973,3.7838813639086766,5.1812482492828735,0.19146132341194289
35,2014-12,0.8433022441245726,0.7395109033368357,2.0239009890776742,-65.80548459163278,-5.145421170710307,-11.865264000976893,4.300718397845074,7.016365451275817,4.515971769076387,5.666997242032906,2.089546110653444
36,2015-01,1.5672390286417084,2.1081959426527277,-1.8744597111846417,-23.51318975618763,5.983474884618673,-6.871874305716091,4.574448202762056,-2.70110876881931,3.557940434425035,5.313609168948659,-4.049418728904925
37,2015-02,1.215886042749446,1.1806427135898474,3.209614299075909,-11.781140117940794,-1.8857359120673607,-4.285779896208325,3.6207507698666745,-9.496407061894047,3.347684897248996,4.788662504779765,1.5983150549639902
38,2015-03,2.970200438307984,3.221167435719366,2.3295051911475895,17.735384169504016,8.900355726236839,-4.3645527976034515,5.209789340641137,-7.446516867678369,3.9354161961640273,5.884434932990374,0.31165593904880495
39,2015-04,4.173582996107129,4.699774533589164,-0.36895093591316197,143.51286133572486,9.430921310658277,5.842247385771486,5.113823202216253,-9.857120286831403,3.5267021700823022,5.1132485707351805,-1.655889576694733
40,2015-05,1.3470494063530793,1.913403068527586,3.750755265689193,23.147018381725175,1.8846696471182014,-3.2682044847055494,4.9596497232534915,-13.825055389493642,3.740811863160303,4.972705387111915,-4.764035152500298
41,2015-06,4.064364925838888,4.208591284625854,8.772226590140747,-29.59677621229507,11.489655184268344,-2.327925713064843,5.201674814995698,-3.886002597101424,4.081444710647105,5.374091596177635,2.387091263516794
